,MIN,MAX
V10.8,-8.169229507446289,11.123939514160156
V10.9,-9.083313941955566,10.454334259033203
V10.10,-8.864394187927246,10.945616722106934
V10.11,-8.834306716918945,11.114409446716307
V10.12,-8.169229507446289,11.123939514160156
V10.13,-9.083313941955566,10.454334259033203
V10.14,-8.864394187927246,10.945616722106934
V10.15,-8.834306716918945,11.114409446716307
V10.16,-8.169229507446289,11.123939514160156
V10.17,-9.083313941955566,10.454334259033203
V10.18,-8.864394187927246,10.945616722106934
V10.19,-8.834306716918945,11.114409446716307
V10.20,-8.169229507446289,11.123939514160156
V10.21,-9.083313941955566,10.454334259033203
V10.22,-8.864394187927246,10.945616722106934
V10.23,-8.834306716918945,11.114409446716307
V10.24,-8.169229507446289,11.246442794799805
V10.25,-8.31632137298584,10.455594062805176
V10.26,-8.864394187927246,10.945616722106934
V10.27,-8.834306716918945,11.114409446716307
V10.28,-7.112569332122803,12.818078994750975
V10.29,-7.791194438934326,11.936962127685547
V10.30,-6.965597152709961,11.420595169067385
V10.31,-7.782905101776122,11.49956226348877
V10.32,-7.112569332122803,12.818078994750975
V10.33,-9.083313941955566,12.383206367492676
V10.34,-8.19987964630127,12.586413383483887
V10.35,-7.782905101776122,12.556891441345215
V10.36,-8.169229507446289,12.818078994750975
V10.37,-9.083313941955566,12.383206367492676
V10.38,-8.19987964630127,12.586413383483887
V10.39,-7.782905101776122,12.556891441345215
V10.40,-8.169229507446289,12.818078994750975
V10.41,-9.083313941955566,12.383206367492676
V10.42,-8.19987964630127,12.586413383483887
V10.43,-7.782905101776122,12.556891441345215
V10.44,-8.169229507446289,12.818078994750975
V10.45,-9.083313941955566,12.383206367492676
V10.46,-8.19987964630127,12.586413383483887
V10.47,-7.782905101776122,12.556891441345215
V10.48,-8.169229507446289,12.818078994750975
V10.49,-9.083313941955566,12.383206367492676
V10.50,-8.19987964630127,12.586413383483887
V10.51,-7.782905101776122,12.556891441345215
V10.52,-8.169229507446289,12.818078994750975
V10.53,-9.083313941955566,12.383206367492676
V10.54,-8.19987964630127,12.586413383483887
V10.55,-7.782905101776122,12.556891441345215
V10.56,-8.169229507446289,12.818078994750975
V10.57,-9.083313941955566,12.383206367492676
V10.58,-8.19987964630127,12.586413383483887
V10.59,-7.782905101776122,12.556891441345215
V10.60,-8.169229507446289,12.818078994750975
V10.61,-9.083313941955566,12.383206367492676
V10.62,-8.19987964630127,12.586413383483887
V10.63,-7.782905101776122,12.556891441345215
V10.64,-8.169229507446289,12.818078994750975
V10.65,-9.083313941955566,12.383206367492676
V10.66,-8.19987964630127,12.586413383483887
V10.67,-7.782905101776122,12.556891441345215
V10.68,-8.169229507446289,12.818078994750975
V10.69,-9.083313941955566,12.383206367492676
V10.70,-8.19987964630127,12.586413383483887
V10.71,-7.782905101776122,12.556891441345215
V10.72,-8.169229507446289,12.818078994750975
V10.73,-9.083313941955566,12.383206367492676
V10.74,-8.19987964630127,12.586413383483887
V10.75,-7.782905101776122,12.556891441345215
V10.76,-8.169229507446289,12.818078994750975
V10.77,-9.083313941955566,12.383206367492676
V10.78,-8.19987964630127,12.586413383483887
V10.79,-7.782905101776122,12.556891441345215
V10.80,-8.169229507446289,12.818078994750975
V10.81,-9.083313941955566,12.383206367492676
V10.82,-8.19987964630127,12.586413383483887
V10.83,-7.782905101776122,12.556891441345215
V10.84,-8.169229507446289,12.818078994750975
V10.85,-9.083313941955566,12.383206367492676
V10.86,-8.19987964630127,12.586413383483887
V10.87,-7.782905101776122,12.556891441345215
V10.88,-8.169229507446289,12.818078994750975
V10.89,-9.083313941955566,12.383206367492676
V10.90,-8.19987964630127,12.586413383483887
V10.91,-7.628792285919189,12.556891441345215
V10.92,-8.169229507446289,12.818078994750975
V10.93,-8.31632137298584,12.383206367492676
V10.94,-7.81611442565918,12.586413383483887
V10.95,-7.356777667999268,12.556891441345215
V10.96,-7.825512886047362,12.818078994750975
V10.97,-8.342198371887207,12.383206367492676
V10.98,-7.445478439331055,12.586413383483887
V10.99,-7.27312707901001,12.556891441345215
RAINC,-2.8428035e-10,18.03070068359375
RAINC.1,-6.855030987296118e-10,19.42507743835449
RAINC.2,-1.1238947550396006e-09,10.629536628723145
RAINC.3,-2.1329457644547745e-10,12.374139785766602
RAINC.4,-6.8989175e-10,19.35124397277832
RAINC.5,-6.855030987296118e-10,22.31891632080078
RAINC.6,-1.1238947550396006e-09,11.125990867614746
RAINC.7,-7.520041811481804e-10,13.898040771484375
RAINC.8,-6.8989175e-10,20.149436950683594
RAINC.9,-6.855030987296118e-10,24.1240348815918
RAINC.10,-1.1238947550396006e-09,12.942254066467285
RAINC.11,-7.520041811481804e-10,14.750496864318848
RAINC.12,-6.8989175e-10,20.46940803527832
RAINC.13,-6.855030987296118e-10,25.06049919128418
RAINC.14,-1.1238947550396006e-09,14.359909057617188
RAINC.15,-7.520041811481804e-10,15.533161163330078
RAINC.16,-6.8989175e-10,20.5711727142334
RAINC.17,-6.855030987296118e-10,25.48697662353516
RAINC.18,-1.1238947550396006e-09,16.2559814453125
RAINC.19,-7.520041811481804e-10,18.01732635498047
RAINC.20,-6.8989175e-10,21.077943801879886
RAINC.21,-6.855030987296118e-10,26.33673667907715
RAINC.22,-1.1238947550396006e-09,18.9244441986084
RAINC.23,-7.520041811481804e-10,21.206239700317386
RAINC.24,-6.8989175e-10,21.52732276916504
RAINC.25,-6.855030987296118e-10,26.91930389404297
RAINC.26,-1.1238947550396006e-09,20.47800636291504
RAINC.27,-7.520041811481804e-10,22.241121292114254
RAINC.28,-6.8989175e-10,21.759103775024414
RAINC.29,-6.855030987296118e-10,27.229188919067386
RAINC.30,-1.1238947550396006e-09,23.22200012207031
RAINC.31,-7.520041811481804e-10,25.439064025878906
